"SynonymID","SpeciesID","SynSCAMITID","SynonymGenus","SynonymSpecies","SynonymDescriber","DateSynonymAdded","Comments","SpeciesListSortID","chkSynGenRed","chkSynSpRed","chkSynAuth"
203851.00,1172.00,3531.00,"Antinoe","sp C","Steinhauer & Imamura 1990 in part",,,164100,0,0,0
203852.00,1172.00,3532.00,"Harmothoe","impar","of authors not (Johnston 1839)",,,164100,0,0,0
203856.00,1175.00,3536.00,"Lagisca","multisetosa","Moore 1902",,,164250,0,0,0
203858.00,1176.00,3538.00,"Harmothoe","complanata","Johnson 1901",,,164350,0,0,0
203861.00,1178.00,3541.00,"Polynoe","extenuata","Grube 1840",,,164500,0,0,0
203864.00,1180.00,3544.00,"Eunoe","sp C","Harris 1985 §",,,164650,0,0,0
203865.00,1180.00,3545.00,"Eunoe","cf depressa","SCAMIT 1990 §",,,164650,0,0,0
203866.00,1180.00,3546.00,"Harmothoe","nr lunulata","Steinhauer & Imamura 1990 in part",,,164650,0,0,0
203867.00,1180.00,3547.00,"Harmothoe","sp A","Harris 1985 §",,,164650,0,0,0
203871.00,1183.00,3551.00,"Malmgenia","nigralba","E. Berkeley 1923",,,164800,0,0,0
203872.00,1183.00,3552.00,"Harmothoe","lunulata","of Hartman 1968 in part not (delle Chiaje 1830)",,,164800,0,0,0
203873.00,1183.00,3553.00,"Malmgrenia","lunulata","of Pettibone 1953 in part not (delle Chiaje 1830)",,,164800,0,0,0
203875.00,1184.00,3555.00,"Malmgreniella","sp SD3","Rowe 1998 §",,,164850,1,1,1
203877.00,1185.00,3557.00,"Harmothoe","scriptoria","Moore 1910",,,164900,0,0,0
203878.00,1185.00,3558.00,"Harmothoe","nr lunulata","of authors SCB in part",,,164900,0,0,0
203879.00,1185.00,3559.00,"Malmgrenia","lunulata","of Pettibone 1953 in part not (delle Chiaje1830)",,,164900,0,0,0
203883.00,1188.00,3563.00,"Subadyte","sp A","SCAMIT 1990 §",,,165100,0,0,0
203884.00,1188.00,3564.00,"Subadyte","sp B","Harris 1985 §",,,165100,0,0,0
