SynonymID,SpeciesID,SynSCAMITID,SynonymGenus,SynonymSpecies,SynonymDescriber,DateSynonymAdded,Comments,SpeciesListSortID,chkSynGenRed,chkSynSpRed,chkSynAuth
200740,275,747,Leptochiton,oldroydi,of Burghardt & Burghardt 1969,,,49450,0,0,0
200742,276,749,Chiton (Leptochiton),nexus,of Orcutt 1885,,,49550,0,0,0
200743,276,750,Lepidopleurus (Leptochiton),ambustus,Dall 1919,,,49550,0,0,0
200744,276,751,Lepidopleurus (Pilsbryella),ambustus,of LeLoup 1940,,,49550,0,0,0
200745,276,752,Lepidopleurus,heathi,of Burghardt & Burghardt 1969,,,49550,0,0,0
200746,276,753,Lepidopleurus (Xiphiozona),heathi,Berry 1919,,,49550,0,0,0
200747,276,754,Lepidopleurus (Leptochiton),lycurgus,Dall 1919,,,49550,0,0,0
200748,276,755,Lepidopleurus,nexus,of Pilsbry 1892,,,49550,0,0,0
200749,276,756,Leptochiton,ambustus,of Smith & Gordon 1948,,,49550,0,0,0
200750,276,757,Leptochiton,lycurgus,of Burghardt & Burghardt 1969,,,49550,0,0,0
200752,277,759,Lepidopleurus,rugatus,Carpenter in Pilsbry 1892,,,49600,0,0,0
200753,277,760,Lepidopleurus,alascensis,Thiele 1909,,,49600,0,0,0
200754,277,761,Lepidopleurus,assimilis,Thiele 1909,,,49600,0,0,0
200755,277,762,Leptopleurus,alascensis,of Smith 1947 ,,,49600,0,0,0
200756,277,763,Leptopleurus,cancellatus,of Dall 1879 not (G. B. Sowerby II 1839),,,49600,0,0,0
200757,277,764,Leptopleurus,internexus,Carpenter in Pilsbry 1892,,,49600,0,0,0
200759,278,766,Lepidopleurus (Oldroydia),percrassus,Dall 1894,,,49750,1,1,1
200764,279,773,Callistochiton,cthonius,Dall 1919,,,50600,0,0,0
200765,279,774,Callistochiton,cyanosus,Dall 1919,,,50600,0,0,0
200766,279,775,Callistochiton,decoratus ferminicus,Berry 1922,,,50600,0,0,0
200767,279,776,Callistochiton,decoratus punctocostatus,Pilsbry 1896,,,50600,0,0,0
200768,279,777,Callistochiton,diegoensis,Thiele 1910,,,50600,0,0,0
200770,280,779,Callistochiton,acinatus,Dall 1919,,,50650,0,0,0
200771,280,780,Callistochiton,celetus,Dall 1919,,,50650,0,0,0
200772,280,781,Callistochiton,connellyi,Willett 1937,,,50650,0,0,0
200773,280,782,Callistochiton,palmulatus mirabilis,Pilsbry 1893,,,50650,0,0,0
200778,282,784,Chiton (Leptochiton),interstinctus,Gould 1852,,,50950,0,0,0
200779,282,785,Ischnochiton,interstinctus,of Abbott 1974,,,50950,0,0,0
200780,282,786,Ischnochiton,radians,Carpenter in Pilsbry 1892,,,50950,0,0,0
200782,283,788,Chiton,mertensii,Middendorff 1847,,,51000,0,0,0
200783,283,789,Ischnochiton,mertensii,of Dall 1921,,,51000,0,0,0
200784,283,790,Ischnochiton (Lepidozona),mertensii,of Abbott 1954,,,51000,0,0,0
200786,284,792,Ischnochiton (Trachydermon),retiporosus,Carpenter 1864,,,51050,0,0,0
200787,284,793,Ischnochiton,aureotinctus,Carpenter in Pilsbry 1892,,,51050,0,0,0
200788,284,794,Ischnochiton,venezius,Dall 1919,,,51050,0,0,0
200789,284,795,Leptochiton,punctatus,Whiteaves 1886,,,51050,0,0,0
200791,285,797,Ischnochiton (Lepidopleurus),scabricostatus,Carpenter 1864,,,51100,0,0,0
200792,285,798,Ischnochiton (Ischnochiton),scabricostatus,of Pilsbry 1892,,,51100,0,0,0
200793,285,799,Ischnochiton (Ischnochiton),golischi,of Dall 1919,,,51100,0,0,0
200794,285,800,Ischnochiton (Lepidozona),golischi,Berry 1919,,,51100,0,0,0
