"""SortID""",SpeciesID,SCAMIT_ID,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Subgenus,species,Describer,red,bold,non_standard_italic,AuthorRed,SubgenusRed
21520,100,323,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Edwardsiidae,,Edwardsia,,californica,McMurrich 1903,0,0,0,0,0
21540,101,325,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Edwardsiidae,,Edwardsia,,sipunculoides,(Stimpson 1853),0,0,0,0,0
21560,102,327,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Edwardsiidae,,Edwardsia,,sp A,SCAMIT 1983 §,0,0,1,0,0
21580,103,328,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Edwardsiidae,,Edwardsia,,sp G,MEC 1992 §,0,0,1,0,0
21950,104,329,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Edwardsiidae,,Metedwardsia,,sp A,Ljubenkov 1980 §,0,0,1,0,0
22050,105,330,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Edwardsiidae,,Scolanthus,,sp A,SCAMIT 1983 §,0,0,1,0,0
22250,106,334,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Halcampoididae,,Pentactinia,,californica,Carlgren 1900,0,0,0,0,0
22450,107,336,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Limnactiniidae,,Limnactiniidae,,sp A,SCAMIT 1989 §,0,0,1,0,0
22650,108,339,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Haloclavidae,,Anemonactis,,sp,,0,0,1,0,0
22750,109,340,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Haloclavidae,,Harenactis,,attenuata,Torrey 1902,0,0,0,0,0
22850,110,341,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Haloclavidae,,Peachia,,quinqecapitata,McMurrich 1913,1,0,0,1,0
